#Selection names:,"Selection 1, Selection 3, Selection 5, Selection 6"
"#Areas (µm^2): 1010337.7, 83261.1, 681672.5, 440284.2"
Selection,X,Y
Selection 6,4916.9279200386645,4106.863023856148
Selection 6,4932.868669780868,4170.843292728193
Selection 6,4916.196063522523,4259.626636342589
Selection 6,4894.926483522165,4314.287169891896
Selection 6,4873.736950328261,4397.432931280392
Selection 6,4852.798992811779,4506.147929701576
Selection 6,4826.840957004891,4580.339884025405
Selection 6,4786.3144024235635,4657.516440704123
Selection 6,4742.631716616377,4720.890640898738
Selection 6,4678.925893937886,4771.114294318937
Selection 6,4615.688916840048,4804.150754867881
Selection 6,4571.091410387685,4825.534687448885
Selection 6,4482.742606579747,4864.323082804377
Selection 6,4424.194085288439,4885.089511449887
Selection 6,4377.183739384423,4923.111744515043
Selection 6,4331.488448157847,4950.842245321961
Selection 6,4285.095606189324,4940.173149547588
Selection 6,4235.7067266078475,4912.24824935357
Selection 6,4193.259048671651,4882.2421321917745
Selection 6,4162.178017251773,4835.357574126469
Selection 6,4140.8855667352855,4766.242874383372
Selection 6,4138.54133883202,4694.73820570475
Selection 6,4142.246362444986,4646.401369865226
Selection 6,4155.17963931617,4585.1541276706475
Selection 6,4182.429859284371,4519.401393798573
Selection 6,4211.772731478413,4475.055463023634
Selection 6,4271.842142092327,4397.204226119097
Selection 6,4305.587588641282,4355.488404699041
Selection 6,4364.845095932602,4301.331022504582
Selection 6,4423.599451869074,4246.007243987522
Selection 6,4480.993012095846,4206.1553696320125
